iter	Passed	Remaining
0	4	889
1	8	821
2	12	792
3	15	767
4	19	754
5	23	745
6	26	736
7	30	727
8	34	722
9	37	718
10	41	713
11	45	708
12	48	704
13	52	700
14	56	696
15	60	694
16	64	690
17	67	686
18	71	683
19	75	678
20	78	672
21	82	667
22	86	663
23	89	659
24	93	654
25	97	650
26	100	645
27	104	641
28	108	637
29	111	633
30	115	628
31	119	626
32	122	622
33	126	618
34	130	614
35	134	611
36	137	607
37	141	603
38	145	599
39	149	598
40	153	594
41	156	590
42	160	586
43	164	582
44	168	578
45	171	574
46	175	570
47	178	566
48	182	563
49	186	559
50	190	555
51	193	551
52	197	548
53	201	545
54	205	541
55	208	536
56	212	533
57	216	529
58	219	525
59	223	521
60	227	517
61	230	513
62	234	509
63	238	505
64	241	502
65	245	499
66	249	495
67	253	491
68	256	487
69	260	484
70	264	480
71	267	476
72	271	472
73	275	468
74	278	464
75	282	461
76	286	457
77	289	453
78	293	449
79	297	445
80	300	441
81	304	438
82	308	434
83	312	431
84	315	427
85	319	423
86	323	420
87	327	416
88	330	412
89	334	408
90	338	405
91	341	401
92	345	397
93	349	394
94	353	390
95	356	386
96	360	382
97	364	379
98	367	375
99	371	371
100	375	367
101	378	364
102	382	360
103	386	356
104	389	352
105	393	348
106	397	345
107	400	341
108	404	337
109	408	333
110	411	330
111	415	326
112	419	322
113	422	319
114	426	315
115	430	311
116	434	307
117	437	304
118	441	300
119	445	296
120	448	292
121	452	289
122	456	285
123	459	281
124	463	278
125	467	274
126	471	270
127	474	267
128	478	263
129	482	259
130	486	256
131	490	252
132	493	248
133	497	245
134	501	241
135	507	238
136	510	234
137	515	231
138	519	227
139	524	224
140	528	221
141	532	217
142	537	214
143	541	210
144	544	206
145	549	203
146	553	199
147	557	195
148	561	192
149	565	188
150	570	185
151	574	181
152	580	178
153	584	174
154	588	170
155	592	167
156	598	163
157	602	160
158	606	156
159	610	152
160	614	148
161	619	145
162	623	141
163	627	137
164	632	134
165	636	130
166	640	126
167	644	122
168	649	119
169	652	115
170	656	111
171	660	107
172	666	103
173	670	100
174	674	96
175	678	92
176	683	88
177	687	85
178	692	81
179	697	77
180	701	73
181	705	69
182	710	65
183	714	62
184	718	58
185	723	54
186	728	50
187	732	46
188	736	42
189	740	38
190	745	35
191	749	31
192	753	27
193	757	23
194	761	19
195	765	15
196	769	11
197	773	7
198	777	3
199	781	0
