iter	Passed	Remaining
0	5	1136
1	9	964
2	14	955
3	18	894
4	22	864
5	25	830
6	29	804
7	32	788
8	36	774
9	40	767
10	44	759
11	47	748
12	51	742
13	55	738
14	59	734
15	63	735
16	67	731
17	71	723
18	75	715
19	78	708
20	82	700
21	85	694
22	89	687
23	92	680
24	96	674
25	100	671
26	104	666
27	107	661
28	111	657
29	115	655
30	119	652
31	123	650
32	127	645
33	131	642
34	135	638
35	139	634
36	143	631
37	147	627
38	151	623
39	154	619
40	158	615
41	162	610
42	165	605
43	169	600
44	173	596
45	176	591
46	180	587
47	184	583
48	188	580
49	191	575
50	195	570
51	198	566
52	202	561
53	206	557
54	209	553
55	213	549
56	217	544
57	220	540
58	224	535
59	227	530
60	231	526
61	234	522
62	238	518
63	241	513
64	245	509
65	248	505
66	252	501
67	256	497
68	259	493
69	263	489
70	267	485
71	270	481
72	274	477
73	278	474
74	283	472
75	287	468
76	290	464
77	294	460
78	297	456
79	301	452
80	304	447
81	308	444
82	312	441
83	316	437
84	320	433
85	324	429
86	328	427
87	332	423
88	336	419
89	340	415
90	343	411
91	348	408
92	352	405
93	356	401
94	360	398
95	363	394
96	368	391
97	371	387
98	375	383
99	379	379
100	383	375
101	387	372
102	391	368
103	395	364
104	399	361
105	402	357
106	406	353
107	409	349
108	413	345
109	417	341
110	420	337
111	424	333
112	428	329
113	432	326
114	436	322
115	439	318
116	443	314
117	447	310
118	450	306
119	455	303
120	459	300
121	463	296
122	467	292
123	471	288
124	475	285
125	478	281
126	482	277
127	486	273
128	490	269
129	494	266
130	497	262
131	501	258
132	505	254
133	508	250
134	512	246
135	516	243
136	520	239
137	524	235
138	527	231
139	531	227
140	534	223
141	538	219
142	542	216
143	545	212
144	549	208
145	553	204
146	556	200
147	560	196
148	563	193
149	567	189
150	570	185
151	574	181
152	578	177
153	582	173
154	585	170
155	589	166
156	592	162
157	596	158
158	600	154
159	603	150
160	608	147
161	611	143
162	615	139
163	619	135
164	622	132
165	627	128
166	630	124
167	634	120
168	637	117
169	642	113
170	646	109
171	650	105
172	654	102
173	658	98
174	662	94
175	666	90
176	669	87
177	673	83
178	677	79
179	681	75
180	685	71
181	688	68
182	692	64
183	696	60
184	700	56
185	703	52
186	707	49
187	711	45
188	715	41
189	718	37
190	722	34
191	726	30
192	730	26
193	733	22
194	737	18
195	741	15
196	745	11
197	748	7
198	752	3
199	756	0
