iter	MultiClass
0	1.077233255
1	1.055176663
2	1.037872657
3	1.021124782
4	1.008503162
5	0.9958391638
6	0.9844018472
7	0.9730798924
8	0.9652716043
9	0.959021949
10	0.9524407332
11	0.9448211497
12	0.9368642501
13	0.9297731676
14	0.924389758
15	0.9194791084
16	0.9146835961
17	0.9110058094
18	0.9069736476
19	0.9024431096
20	0.8979125453
21	0.8923480286
22	0.887988114
23	0.8853601597
24	0.880134217
25	0.8763601257
26	0.8713273836
27	0.8675334708
28	0.8651246946
29	0.8627465085
30	0.8608790271
31	0.8589647601
32	0.8562433658
33	0.8542744773
34	0.8513590629
35	0.8491048011
36	0.8461128363
37	0.8442991303
38	0.841893891
39	0.8402966218
40	0.8381555498
41	0.8358027452
42	0.8338201288
43	0.8312107909
44	0.8292571711
45	0.8259950609
46	0.82423628
47	0.8227113152
48	0.8208459098
49	0.819241458
50	0.8177230568
51	0.8169452009
52	0.8144005378
53	0.8129552005
54	0.8106833193
55	0.8096264318
56	0.8083105248
57	0.8054340281
58	0.8033991229
59	0.8017076392
60	0.8001546201
61	0.7983523323
62	0.7962863959
63	0.7946319091
64	0.7927196315
65	0.7913435785
66	0.7900109757
67	0.7880337596
68	0.786536881
69	0.7842147459
70	0.7827843011
71	0.7812018646
72	0.7790190876
73	0.7775718752
74	0.7759103378
75	0.7739832818
76	0.7722167746
77	0.7703117747
78	0.7693828119
79	0.7680451316
80	0.7658733934
81	0.764669091
82	0.7618747142
83	0.7601071296
84	0.7586473564
85	0.7563735104
86	0.7548655064
87	0.7536613006
88	0.7518017533
89	0.7495375268
90	0.7479829864
91	0.7470585024
92	0.7448507061
93	0.7433089315
94	0.7406377094
95	0.7390552936
96	0.738284133
97	0.7367349138
98	0.7352122501
99	0.7340616102
100	0.7326647166
101	0.7311819771
102	0.7296087169
103	0.7279728113
104	0.7259306377
105	0.7237286156
106	0.7227639358
107	0.7213296724
108	0.7200399808
109	0.7190587002
110	0.7176951628
111	0.7162355986
112	0.7151909593
113	0.714108585
114	0.7115688879
115	0.7100853163
116	0.7079577048
117	0.7062867855
118	0.7044586331
119	0.703156286
120	0.701515265
121	0.6994117709
122	0.6975906373
123	0.6963740608
124	0.6952817996
125	0.6931412819
126	0.6918844836
127	0.6905705553
128	0.689778447
129	0.6883859968
130	0.6869292116
131	0.6857523679
132	0.6838809275
133	0.6821145139
134	0.6809098009
135	0.6793833269
136	0.6781997684
137	0.6770512484
138	0.6756650353
139	0.6742614012
140	0.6724163578
141	0.6703373379
142	0.6690552707
143	0.6675983154
144	0.6652744109
145	0.6641925767
146	0.6630299588
147	0.6612794565
148	0.6604451749
149	0.6591339352
150	0.6569874007
151	0.6556000458
152	0.6545001364
153	0.6528533093
154	0.6515336244
155	0.6504325491
156	0.6494229791
157	0.6475915088
158	0.6458517197
159	0.6442384665
160	0.6427472863
161	0.641168617
162	0.640576535
163	0.6398401688
164	0.6385793055
165	0.6370439765
166	0.6357746733
167	0.6342234248
168	0.6329095927
169	0.6317935789
170	0.6301458956
171	0.6287468995
172	0.627452576
173	0.6265997131
174	0.625468016
175	0.6244640612
176	0.6235224032
177	0.6224398554
178	0.6212000807
179	0.6196215131
180	0.6179992052
181	0.6173438799
182	0.6163036527
183	0.6154111208
184	0.6145757001
185	0.6136163099
186	0.6122807505
187	0.6114710861
188	0.6106424226
189	0.6092920966
190	0.6079080526
191	0.6068961107
192	0.6052489893
193	0.6042986695
194	0.6032403767
195	0.6027797321
196	0.6014216163
197	0.6001154403
198	0.5991117204
199	0.5976326881
